Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2022-09-03 02:00:00,12,11.0,1.0,13.0,2.1,-9999.0,1.0,2.41,1.0,9.8562,1.0,12.2661,1.0,-9999.0,1.0,-9999.0,1.0,0.3701,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 03:00:00,12,15.0,1.0,26.0,1.0,-9999.0,1.0,3.0021,1.0,11.025,1.0,14.027,1.0,-9999.0,1.0,-9999.0,1.0,0.3884,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 04:00:00,12,13.0,1.0,24.0,1.0,-9999.0,1.0,4.2365,1.0,14.0639,1.0,18.3004,1.0,-9999.0,1.0,-9999.0,1.0,0.279133,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 05:00:00,12,13.0,1.0,20.0,1.0,-9999.0,1.0,8.837,1.0,15.5392,1.0,24.3763,1.0,-9999.0,1.0,-9999.0,1.0,0.754614,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 06:00:00,12,33.0,1.0,39.0,1.0,-9999.0,1.0,41.1841,1.0,18.2209,1.0,59.4051,1.0,-9999.0,1.0,-9999.0,1.0,2.23739,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 07:00:00,12,30.0,1.0,43.0,1.0,-9999.0,1.0,64.4475,1.0,19.2809,1.0,83.7283,1.0,-9999.0,1.0,-9999.0,1.0,3.8421,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 08:00:00,12,35.0,1.0,50.0,1.0,-9999.0,1.0,47.2525,1.0,18.8694,1.0,66.1218,1.0,-9999.0,1.0,-9999.0,1.0,5.11625,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 09:00:00,12,44.0,1.0,55.0,1.0,-9999.0,1.0,34.1306,1.0,20.7602,1.0,54.8908,1.0,-9999.0,1.0,-9999.0,1.0,5.51161,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 10:00:00,12,33.0,1.0,41.0,1.0,-9999.0,1.0,16.2064,1.0,20.4185,1.0,36.6249,1.0,-9999.0,1.0,-9999.0,1.0,3.56577,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 11:00:00,12,24.0,1.0,35.0,1.0,-9999.0,1.0,8.6569,1.0,12.7747,1.0,21.4316,1.0,-9999.0,1.0,-9999.0,1.0,1.32441,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
